SlNo,CustomerName,Region,TINR,ENGR,IU,HasComplaints
1,Qpower ,EXP,600,VP,1,0
2,PGCIL KOLAR,RN,800,VP,0,0
3,Qpower bank -Amendment,RN,323,RP,1,0
4,Simhapuri FerroAlloys,RS,509,DS,1,0
5,Easen Reyrolle Limited a/C CSPTCL,RS,1456,DS,0,0
6,Easen Reyrolle Limited a/C CSPTCL,RE,2912,DS,0,0
7,EPCOS a/c HVPNL,RW,5940,RP,0,0
8,EPCOS a/c HVPNL,RW,5940,RP,0,0
9,EPCOS a/c HVPNL,RW,6480,RP,0,0
10,ABB CANADA,EXP,2668,RP,1,0
11,ABB AUSTRALIA,EXP,33.78,DS,1,0
12,Jindal Stainless Limited,IDTO,1849,VP,1,1
13,ABB CANADA,EXP,1115,VP,1,0
14,Tata Steel,RE,145.2,VP,1,0
15,Tata Steel,RE,193.6,VP,1,0
16,ABB CANADA,EXP,157.9,VP,1,0
17,ABB CANADA,EXP,301.72,VP,1,0
18,SKS BUILDTECH,RN,1280,RP,0,0
19,ABB AUSTRALIA,EXP,20.76,VP,1,0
20,SAMHITA TECHNOLOGIES,RN,81,VP,1,1
21,SUN COMPUTECH,RN,24.54,VP,1,1
22,SPECTRUM CONSULTANTS,RS,24.8,VP,0,0
23,KSEB,RS,430.5,VP,0,0
24,SS ENTERPRISE,RE,100.98,VP,0,0
25,HINDALCO INDUSTRIES,RN,216.42,VP,1,0
26,QUALITY POWER,RW,587.73,VP,1,0
27,ABB LTD A/C LT CAPACITORS A/C KALYANI GARUDA,RS,1383.69,RP,1,1
28,OVAC SWITCHGEAR SERVICES PVT LTD,RS,197.5,VP,1,0
29,ABB LTD A/C LT CAPACITORS,IDTO,1000,VP,1,0
30,ABB AUSTRALIA,EXP,23,VP,1,0
31,QUALITY POWER,RW,130.68,VP,1,0
32,ADITYA BIRLA INDIAN RAYON,RW,298,VP,1,0
33,GRAPHITE INDIA LIMITED,RW,130.56,VP,1,0
34,QUALITY POWER,RW,813.96,VP,1,0
35,ABB CANADA,EXP,39.89,VP,1,0
36,QUALITY POWER,RW,497.72,RP,1,0
37,JARVIS,RS,315,VP,1,1
38,CABCHEM A/C MSETCL,RW,2800,KS,0,1
39,Quality POWER A/c Railways A/c Loose units with fuses,RW,12134,RP,1,0
40,ABB Limited A/c LT Caps A/c Kalyani Garuda,IDTO,1181,RP,1,1
41,ABB AUSTRALIA,EXP,50.6,VP,1,0
42,ABB AUSTRALIA,EXP,31,VP,1,0
43,ABB CANADA,EXP,379.48,VP,1,0
44,ETA ENGINEERS A/C KPTCL,RS,430,VP,0,1
45,Quality POWER A/c Railways Amendment,RW,4372,RP,1,0
46,QUALITY POWER,RW,2139,VP,1,0
47,JINDAL STRUCTURES LIMITED A/C CSPTCL,RN,4660,DS,0,1
48,KSEB,RS,128,VP,0,0
49,JYOTI LIMITED,RW,223,VP,0,0
50,SPECTRUM CONSULTANTS,RS,48.4,VP,0,0
51,KSEB,RS,123,VP,0,0
52,ABB LTD A/C PA A/C VSP,IDTO,59.71,VP,1,1
53,EPCOS a/c HVPNL,RW,5184,RP,0,1
54,SPECTRUM CONSULTANTS,RS,560,VP,0,0
55,Trading Engineers,RN,1275,RP,0,1
56,ABB AUSTRALIA,EXP,224,VP,1,0
57,ABB LTD A/C PA A/C DUNGSUM CEMENT,IDTO,250,VP,1,1
58,ABB LTD A/C PA A/C VSP,IDTO,202,VP,1,1
59,Jindal Stainless Limited,RE,738,VP,1,1
60,TAMIL NADU GEN & DIS CO LTD,RC,168,VP,0,1
61,TAMIL NADU GEN & DIS CO LTD,RC,151,VP,0,1
